thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,49,99,001,26,f,r,test,,2,2,3,0.8999999999999999,,1,False,0.8580261999741197,False,img_B,img_B,,12.325119650809768,2230.846656796568,203.68442614203008,1475,[np.int64(1280)],,,,,,high,0.8999999999999999,4,limousine_01s,fingerprint_12s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,50,99,001,26,f,r,test,,2,2,4,0.8999999999999999,,0,False,0.86061149998568,False,img_A,img_B,,3.9768969716388787,719.818351866637,99.48260828975569,1481,[np.int64(1201)],,,,,,high,0.8999999999999999,5,figurine_08s,breadstick_14s,13,23,33,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,51,99,001,26,f,r,test,,2,2,5,0.8999999999999999,,1,False,0.7462979999836534,False,img_B,img_B,,0.912912615983539,165.23718349302055,14.303372919912258,383,[np.int64(863)],,,,,,high,0.8999999999999999,3,toad_06s,filing_cabinet_09s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,52,99,001,26,f,r,test,,2,3,1,0.17174237722903368,,1,False,0.980768299952615,False,img_A,img_A,,-0.252516258596408,-45.70544280594986,32.80841394539858,1148,[np.int64(1499)],,,,,,low,0.17174237722903368,3,ginger_03s,hamburger_02s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,53,99,001,26,f,r,test,,2,3,2,0.17174237722903368,,1,False,2.077082799980417,False,img_B,img_B,,0.051222631886480456,9.271296371452962,68.86022678137722,1026,[np.int64(648)],,,,,,low,0.17174237722903368,4,dishrag_08s,target_14s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,54,99,001,26,f,r,test,,2,3,3,0.17174237722903368,,0,False,1.0264958000043407,False,img_B,img_A,,1.0316047018262302,186.72045103054768,34.554710754350644,726,[np.int64(1139)],,,,,,low,0.17174237722903368,5,pretzel_02s,suit_06s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,55,99,001,26,f,r,test,,2,3,4,0.17174237722903368,,0,True,nan,False,img_A,timeout,,-0.39797402223619543,-72.03329802475137,13.536869373353134,386,[np.int64(1521)],,,,,,low,0.17174237722903368,3,batter_04s,sauerkraut_07s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,56,99,001,26,f,r,test,,2,3,5,0.17174237722903368,,1,False,3.5942953000194393,False,img_B,img_B,,0.4128506790121774,74.72597290120412,25.39435716599184,1408,[np.int64(612)],,,,,,low,0.17174237722903368,6,locker_12s,worm_08n,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,57,99,001,26,f,r,test,,2,4,1,0.8999999999999999,,1,False,0.4810999000328593,False,img_B,img_B,,18.13718563980483,3282.8306008046743,223.51734237468034,1137,[np.int64(295)],,,,,,high,0.8999999999999999,7,hot_tub_06s,cheese_07s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,58,99,001,26,f,r,test,,2,4,2,0.8999999999999999,,1,False,0.9105374999926426,False,img_B,img_B,,13.118818358613758,2374.50612290909,191.16236925931833,922,[np.int64(495)],,,,,,high,0.8999999999999999,5,canoe_06s,puppy_06s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,59,99,001,26,f,r,test,,2,4,3,0.8999999999999999,,1,False,0.5913060000166297,False,img_B,img_B,,2.1512829031772047,389.38220547507404,57.38166574208279,1437,[np.int64(298)],,,,,,high,0.8999999999999999,4,coin_15s,costume_08s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,60,99,001,26,f,r,test,,2,4,4,0.8999999999999999,,0,False,1.194133499986492,False,img_A,img_B,,0.61956684214424,112.14159842810743,9.24504816809102,224,[np.int64(1061)],,,,,,high,0.8999999999999999,3,praying_mantis_04s,cheesecake_13s,13,23,33,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,61,99,001,26,f,r,test,,2,4,5,0.8999999999999999,,0,False,1.0609785999986343,False,img_A,img_B,,0.25044575665029706,45.33068195370377,1.889611020466848,875,[np.int64(647)],,,,,,high,0.8999999999999999,3,skewer_09s,sandbox_10s,13,23,33,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,62,99,001,26,f,r,test,,2,5,1,0.17174237722903368,,1,False,0.563447599997744,False,img_B,img_B,,-0.276089763046376,-49.97224711139406,2.112079096540293,563,[np.int64(243)],,,,,,low,0.17174237722903368,3,otter_12s,bowtie_05s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,63,99,001,26,f,r,test,,2,5,2,0.17174237722903368,,0,False,1.0917491000145674,False,img_B,img_A,,-0.2019574909330413,-36.554305858880475,19.312967740545925,1319,[np.int64(1038)],,,,,,low,0.17174237722903368,4,sleeping_bag_02s,wooden_leg_08s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,64,99,001,26,f,r,test,,2,5,3,0.17174237722903368,,0,False,1.1269291000207886,False,img_B,img_A,,0.554129283261926,100.29740027040862,26.418761481009486,1143,[np.int64(1174)],,,,,,low,0.17174237722903368,3,barrette_09s,waffle_08s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,65,99,001,26,f,r,test,,2,5,4,0.17174237722903368,,0,False,1.178973100031726,False,img_B,img_A,,-0.0940267299771253,-17.01883812585968,0.25361003381760827,942,[np.int64(415)],,,,,,low,0.17174237722903368,4,cornhusk_12s,ketchup_14s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,66,99,001,26,f,r,test,,2,5,5,0.17174237722903368,,1,False,0.8967529999790713,False,img_B,img_B,,0.4888548053537193,88.48271976902319,2.9531659918856406,651,[np.int64(514)],,,,,,low,0.17174237722903368,5,corset_17s,light_switch_10s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
