thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,50,6,001,35,m,r,calibration,0.85,2,-1,50,0.15989317907384526,-1.659023090040775,0,False,0.6987082000123337,False,dot,square,0.20243848830001732,3.2168033259986983,582.2414020057644,329.61639022973327,989,[np.int64(244)],-1.611887643336663,4.100142493961407,2.4049966413489443,0.018003688326583146,0.018687806602425146,,,,,,,,,,6,001,35,m,r,,,,,,,
,,51,6,001,35,m,r,calibration,0.85,2,-1,51,0.19750845711691875,-1.4019399122156422,1,False,0.5642147000180557,False,square,square,0.19931245267568592,1.4162518864859346,256.34159145395415,290.54895410765675,1552,[np.int64(1291)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,52,6,001,35,m,r,calibration,0.85,2,-1,52,0.19750845711691875,-1.4019399122156422,1,False,1.1160122000146657,False,dot,dot,0.19653508842983644,1.5290054630803322,276.74998881754016,246.9379393023891,314,[np.int64(994)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,53,6,001,35,m,r,calibration,0.85,2,-1,53,0.15989317907384526,-1.659023090040775,1,False,0.9208522000117227,False,square,square,0.19726194985350404,1.2566300004388875,227.45003007943862,138.21196658255167,184,[np.int64(618)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,54,6,001,35,m,r,calibration,0.85,2,-1,54,0.15989317907384526,-1.659023090040775,1,False,0.7365238000638783,False,square,square,0.1978764717165071,1.3134694245592549,237.73796584522515,190.89126486440094,895,[np.int64(970)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,55,6,001,35,m,r,calibration,0.85,2,-1,55,0.15989317907384526,-1.659023090040775,1,False,1.1360132999252528,False,dot,dot,0.19836976622152705,1.5799252045762233,285.9664620282964,319.2877679855086,888,[np.int64(249)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,56,6,001,35,m,r,calibration,0.85,2,-1,56,0.15989317907384526,-1.659023090040775,0,False,0.8051352999173105,False,dot,square,0.18259270353177426,2.155421462213008,390.1312846605544,146.5611507128573,638,[np.int64(374)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,57,6,001,35,m,r,calibration,0.85,2,-1,57,0.15989317907384526,-1.659023090040775,1,False,0.5163789999205619,False,dot,dot,0.18268508832492472,1.0572467208225622,191.36165646888378,113.52516141985484,688,[np.int64(544)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,58,6,001,35,m,r,calibration,0.85,2,-1,58,0.15989317907384526,-1.659023090040775,1,False,0.5303640998899937,False,square,square,0.18274242369800722,0.9918507681047977,179.52498902696837,319.9006218868866,1415,[np.int64(1463)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,59,6,001,35,m,r,calibration,0.85,2,-1,59,0.15989317907384526,-1.659023090040775,1,False,0.7536660999758169,False,square,square,0.182761170508595,1.450193893480629,262.48509471999387,94.93083546676543,1391,[np.int64(749)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,60,6,001,35,m,r,calibration,0.85,2,-1,60,0.15989317907384526,-1.659023090040775,1,False,0.6535060999449342,False,square,square,0.18273924981504816,0.8159779694611515,147.69201247246843,237.17141809732317,120,[np.int64(190)],-1.7142141577164065,4.230762244384614,2.4488183565647312,0.01658518175347886,0.01791700106912723,,,,,,,,,,6,001,35,m,r,,,,,,,
,,61,6,001,35,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.368165299994871,False,square,square,0.9585022178944526,2.0246466482401138,366.4610433314606,53.45529207858147,1346,[np.int64(458)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,62,6,001,35,m,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.8181590000167489,False,dot,dot,0.9261401199953351,1.7754500786470968,321.3564642351245,257.8251649369235,683,[np.int64(19)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,63,6,001,35,m,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.5881033999612555,False,dot,dot,0.8644614427153365,3.2701014556620853,591.8883634748374,164.08982149734197,407,[np.int64(1244)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,64,6,001,35,m,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,1,False,0.7865994999883696,False,square,square,0.8074724288348268,3.086348279544219,558.6290385975036,126.53633368967395,739,[np.int64(1112)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,65,6,001,35,m,r,calibration,0.55,2,0,5,0.347354013008391,-0.6306903787402434,1,False,0.7035690000047907,False,square,square,0.7495926648821191,3.6795715415171983,666.0024490146129,135.4763697945597,22,[np.int64(1278)],-1.241575383088058,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,66,6,001,35,m,r,calibration,0.55,2,0,6,0.29156950079727495,-0.887773556565376,1,False,0.7374518000287935,False,dot,dot,0.7023309908200142,2.463935707251457,445.9723630125137,289.63638897687383,868,[np.int64(1519)],-1.3588216304629763,3.3918364397574012,2.1111728966575884,0.0239330736742811,0.02104422061423556,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
