thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,20,99,001,calibration,2,0,20,0.806273406195118,1.4259750438608214,1,False,0.7607027000049129,False,square,square,0,0,0.3639487458351154,19.628165457703933,3533.069782386708,204.54739803941857,637,[np.int64(622)],1.4037415448202506,2.7549967353792315,1.7446588063293227,0.032513841508602176,0.022052650767872137,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3639487458351154,,,
,,21,99,001,calibration,2,0,21,0.806273406195118,1.4259750438608214,0,False,1.2591191999963485,False,square,dot,0,0,0.34023045850680417,19.281994039444722,3490.0409211394945,204.21677131252605,701,[np.int64(1303)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.34023045850680417,,,
,,22,99,001,calibration,2,0,22,0.843309065531368,1.683058221685953,0,False,0.9054955000028713,False,square,dot,0,0,0.3177977085356576,19.45939434783912,3522.1503769588803,201.6327710204325,229,[np.int64(770)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3177977085356576,,,
,,23,99,001,calibration,2,0,23,0.843309065531368,1.683058221685953,0,False,1.042929199989885,False,dot,square,0,0,0.2905308477420658,17.829295648163857,3209.273216669494,206.26183816472332,1150,[np.int64(21)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.2905308477420658,,,
,,24,99,001,calibration,2,0,24,0.843309065531368,1.683058221685953,1,False,1.0927348000113852,False,dot,dot,0,0,0.2955982448639628,14.22972711283501,2575.580607423137,180.935981673466,1346,[np.int64(458)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.2955982448639628,,,
,,25,99,001,calibration,2,0,25,0.843309065531368,1.683058221685953,0,False,0.8238420999987284,False,square,dot,0,0,0.26942431677895173,20.783431369468634,3720.2342151348853,217.23136193690905,1384,[np.int64(1549)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.26942431677895173,,,
,,26,99,001,calibration,2,0,26,0.843309065531368,1.683058221685953,1,False,0.906631700010621,False,square,square,0,0,0.27513524190566885,8.935425540068529,1617.312022752404,133.68854326110676,411,[np.int64(1542)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.27513524190566885,,,
,,27,99,001,test,2,1,,0.6580745541515514,,1,False,1.108775999993668,False,img_B,img_B,0,0,0.27513524190566885,15.267319526233885,2503.8404023023572,170.28854055640127,1273,[np.int64(1104)],,,,,,level_1,0.8646483875697211,4,seahorse_03s,wetsuit_01b,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,28,99,001,test,2,1,,0.6580745541515514,,1,False,0.8699818000022788,False,img_A,img_A,0,0,0.27513524190566885,14.56413183269869,2563.2872025549696,213.7171961859295,807,[np.int64(83)],,,,,,level_1,0.8646483875697211,5,saltshaker_08s,dumpling_01b,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,29,99,001,test,2,1,,0.6580745541515514,,1,False,0.8477989000093658,False,img_A,img_A,0,0,0.27513524190566885,15.889356679118537,2875.973558920455,203.16329472920802,1014,[np.int64(549)],,,,,,level_1,0.8646483875697211,5,fingerprint_02s,cookie_14s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,30,99,001,test,2,1,,0.6580745541515514,,1,False,2.396161700002267,False,img_B,img_B,0,0,0.27513524190566885,15.13160328749853,2693.4253851747385,178.94984186604896,919,[np.int64(745)],,,,,,level_1,0.8646483875697211,4,dragonfly_09s,football_helmet_08s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,31,99,001,test,2,1,,0.6580745541515514,,1,False,2.364759400006733,False,img_A,img_A,0,0,0.27513524190566885,15.165153900222542,2744.8928559402802,221.9197450559727,903,[np.int64(1458)],,,,,,level_1,0.8646483875697211,5,hairbrush_08s,harness_03s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,32,99,001,test,2,2,,0.8999999999999999,,1,False,0.8116836999979569,False,img_B,img_B,0,0,0.27513524190566885,15.270372710015588,2763.9374605128214,185.35361642359803,921,[np.int64(754)],,,,,,level_3,0.8646483875697211,6,wing_11s,boa_11s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,33,99,001,test,2,2,,0.8999999999999999,,0,False,1.0702803999884054,False,img_A,img_B,0,0,0.27513524190566885,13.383063718057818,2288.503895787887,179.46953404343205,623,[np.int64(1152)],,,,,,level_3,0.8646483875697211,5,ham_10s,scarecrow_09s,13,23,33,42,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,34,99,001,test,2,2,,0.8999999999999999,,1,False,0.9453035999904387,False,img_A,img_A,0,0,0.27513524190566885,19.523865281166653,3533.819615891164,168.40351215590226,1271,[np.int64(1179)],,,,,,level_3,0.8646483875697211,5,sloth_12s,filing_cabinet_07s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,35,99,001,test,2,2,,0.8999999999999999,,0,False,3.2059465999918757,False,img_A,img_B,0,0,0.27513524190566885,7.7649198231383325,1374.3908086954848,141.32307799050753,1257,[np.int64(180)],,,,,,level_3,0.8646483875697211,5,broom_08s,footprint_11s,13,23,33,42,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,36,99,001,test,2,2,,0.8999999999999999,,1,False,0.9468611000047531,False,img_A,img_A,0,0,0.27513524190566885,12.20083087864649,2183.948727277722,183.0117031736393,1317,[np.int64(962)],,,,,,level_3,0.8646483875697211,6,lighter_03s,tack_01b,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
