thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,21,SIM,001,calibration,2,0,21,0.843309065531368,1.683058221685953,0,False,2.586120200023288,False,square,dot,0,0,0.250411109511024,3.6630915181902517,659.3564732742453,12.16685993727698,1483,[np.int64(521)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.250411109511024,,,
,,22,SIM,001,calibration,2,0,22,0.8743676768795192,1.940141399511088,1,False,2.0190574000007473,False,dot,dot,0,0,0.2535336130554357,3.767083866267092,678.0750959280765,14.772178306959965,729,[np.int64(1058)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.2535336130554357,,,
,,23,SIM,001,calibration,2,0,23,0.843309065531368,1.683058221685953,1,False,4.104066700005205,False,dot,dot,0,0,0.2589877290081925,3.8376382689283637,690.7748884071054,14.433499126168028,93,[np.int64(613)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.2589877290081925,,,
,,24,SIM,001,calibration,2,0,24,0.843309065531368,1.683058221685953,0,False,1.9582531999913044,False,dot,square,0,0,0.23602885735890092,3.8959364151226747,701.2685547220815,13.180197559170185,1287,[np.int64(1470)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.23602885735890092,,,
,,25,SIM,001,calibration,2,0,25,0.8743676768795192,1.940141399511088,0,False,1.8383735000097658,False,square,dot,0,0,0.21484992841872821,3.6131772785121306,646.7587328536714,13.094385365401527,1038,[np.int64(1465)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.21484992841872821,,,
,,26,SIM,001,calibration,2,0,26,0.8743676768795192,1.940141399511088,0,False,3.3308974000101443,False,dot,square,0,0,0.19377489174423504,3.8454070440424593,692.1732679276427,13.70668659382017,21,[np.int64(1253)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.19377489174423504,,,
,,27,SIM,001,calibration,2,0,27,0.8743676768795192,1.940141399511088,0,False,4.094061199983116,False,dot,square,0,0,0.17404040026213524,3.3691365754378744,606.4445835788174,12.230120401069133,1488,[np.int64(476)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.17404040026213524,,,
,,28,SIM,001,calibration,2,0,28,0.8743676768795192,1.940141399511088,1,False,4.501447799993912,False,square,square,0,0,0.17917485469218894,4.225456103640998,760.5820986553797,15.322921761741535,1145,[np.int64(143)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.17917485469218894,,,
,,29,SIM,001,calibration,2,0,29,0.8743676768795192,1.940141399511088,0,False,4.221762100001797,False,square,dot,0,0,0.16129631116440263,3.4131518530611094,614.3673335509997,11.888052828935544,678,[np.int64(1507)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.16129631116440263,,,
,,30,SIM,001,calibration,2,0,30,0.8743676768795192,1.940141399511088,0,False,1.6593299999949522,False,square,dot,0,0,0.14525976708888524,3.6675004885267315,656.4825874462849,11.095992755717711,249,[np.int64(159)],2.0475559762111053,3.0725729647566933,1.988001053493715,0.039195767254211596,0.021168510200238938,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.14525976708888524,,,
,,31,SIM,001,calibration,2,0,31,0.8743676768795192,1.940141399511088,0,False,2.7322865999885835,False,dot,square,0,0,0.13106041572556515,3.2672528652587145,584.8382628813099,9.54992864455617,1027,[np.int64(524)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.13106041572556515,,,
,,32,SIM,001,calibration,2,0,32,0.8743676768795192,1.940141399511088,0,False,2.821459300001152,False,square,dot,0,0,0.11857170843184885,3.4827967597065195,626.9034167471735,11.388534579104746,641,[np.int64(1110)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.11857170843184885,,,
,,33,SIM,001,calibration,2,0,33,0.8743676768795192,1.940141399511088,0,False,4.206300500023644,False,dot,square,0,0,0.10761824892593524,3.94590523009407,710.2629414169326,17.646104999701592,1262,[np.int64(616)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.10761824892593524,,,
,,34,SIM,001,calibration,2,0,34,0.8999999999999999,2.1972245773362182,0,False,3.7427982999943197,False,square,dot,0,0,0.09670153040861235,3.823803185449879,684.4607701955283,10.576434954709017,760,[np.int64(1440)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.09670153040861235,,,
,,35,SIM,001,calibration,2,0,35,0.8999999999999999,2.1972245773362182,0,False,3.95402059998014,False,square,dot,0,0,0.08738888208150869,3.835333862848755,690.3600953127759,11.636576327522658,1307,[np.int64(11)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.08738888208150869,,,
,,36,SIM,001,calibration,2,0,36,0.8999999999999999,2.1972245773362182,1,False,2.8717927999969106,False,square,square,0,0,0.0896269852708773,4.014910626267229,722.6839127281012,12.653463297753335,988,[np.int64(1531)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.0896269852708773,,,
,,37,SIM,001,calibration,2,0,37,0.8999999999999999,2.1972245773362182,1,False,4.156373400008306,False,dot,dot,0,0,0.09190554383266009,3.4792129384136046,626.2583289144488,11.512816923047229,1182,[np.int64(1384)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.09190554383266009,,,
,,38,SIM,001,calibration,2,0,38,0.8999999999999999,2.1972245773362182,1,False,2.821284100005869,False,dot,dot,0,0,0.0942205379542863,3.574510868794113,643.4119563829404,12.741567968576414,1502,[np.int64(167)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.0942205379542863,,,
,,39,SIM,001,calibration,2,0,39,0.8999999999999999,2.1972245773362182,1,False,2.2743648999894504,False,square,square,0,0,0.09656715118999053,3.753542138923021,675.6375850061438,11.521647589292229,1079,[np.int64(469)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.09656715118999053,,,
,,40,SIM,001,calibration,2,0,40,0.8999999999999999,2.1972245773362182,0,False,2.8827522000065073,False,dot,square,0,0,0.08753565115255445,3.397250242698865,611.5050436857957,11.887707584259926,908,[np.int64(1114)],2.1297932686778895,3.236519520244358,2.075045260982981,0.04268143190940327,0.02005263586665906,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.08753565115255445,,,
,,41,SIM,001,calibration,2,0,41,0.8999999999999999,2.1972245773362182,1,False,3.0547318999888375,False,square,square,0,0,0.08970382841398396,3.295964013427958,589.9775584036045,11.965197304493088,95,[np.int64(837)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.08970382841398396,,,
,,42,SIM,001,calibration,2,0,42,0.8999999999999999,2.1972245773362182,0,False,3.6707434999989346,False,dot,square,0,0,0.08169029762308941,3.8703933042251686,677.3188282394045,12.59841970892447,1221,[np.int64(1108)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.08169029762308941,,,
,,43,SIM,001,calibration,2,0,43,0.8999999999999999,2.1972245773362182,0,False,3.314626999985194,False,dot,square,0,0,0.07476810015267736,3.65687168089865,658.236902561757,12.888173999995095,1445,[np.int64(1093)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.07476810015267736,,,
